id; route; times; type_of_day; information
101-08h25;101;{'Ponta Delgada': '08h25', 'Moviarte': '08h32', 'Caldeirão': '08h40', 'Ribeira Seca': '08h52', 'Ribeira Grande': '08h55'};WEEKDAY;None
101-17h15;101;{'Ponta Delgada': '17h15', 'Moviarte': '17h22', 'Caldeirão': '17h30', 'Ribeira Seca': '17h41', 'Ribeirinha': '18h00', 'Ribeira Grande': '17h45'};WEEKDAY;None
101-17h45;101;{'Ponta Delgada': '17h45', 'Moviarte': '17h52', 'Caldeirão': '18h00', 'Ribeira Seca': '18h12', 'Ribeira Grande': '18h15'};WEEKDAY;None
101-18h15;101;{'Ponta Delgada': '18h15', 'Moviarte': '18h22', 'Caldeirão': '18h22', 'Ribeira Seca': '18h42', 'Ribeirinha': '19h00', 'Ribeira Grande': '18h45'};WEEKDAY;None
101-07h00;101;{'Ribeirinha': '07h00', 'Ribeira Grande': '07h15', 'Ribeira Seca': '07h18', 'Caldeirão': '07h31', 'Moviarte': '07h38', 'Ponta Delgada': '07h50'};WEEKDAY;None
101-07h30;101;{'Ribeirinha': '07h30', 'Ribeira Grande': '07h45', 'Ribeira Seca': '07h48', 'Caldeirão': '08h01', 'Moviarte': '08h08', 'Ponta Delgada': '08h17'};WEEKDAY;None
101-08h00;101;{'Ribeirinha': '08h00', 'Ribeira Grande': '08h15', 'Ribeira Seca': '08h18', 'Caldeirão': '08h31', 'Moviarte': '08h38', 'Ponta Delgada': '08h50'};WEEKDAY;None
101-12h00;101;{'Ribeirinha': '12h00', 'Ribeira Grande': '12h15', 'Ribeira Seca': '12h18', 'Caldeirão': '12h31', 'Moviarte': '12h38', 'Ponta Delgada': '12h50'};WEEKDAY;None
102-07h35;102;{'Ponta Delgada': '07h35', 'Moviarte': '07h41', 'Caldeirão': '07h51', 'Pico da Pedra': '07h57', 'Calhetas': '08h03', 'Rabo de Peixe': '08h08', 'Ribeira Grande': '08h20', 'Ribeirinha': '08h30'};WEEKDAY;None
102-08h15;102;{'Ponta Delgada': '08h15', 'Moviarte': '08h21', 'Caldeirão': '08h31', 'Pico da Pedra': '08h37', 'Calhetas': '08h43', 'Rabo de Peixe': '08h48', 'Ribeira Grande': '09h00'};WEEKDAY;None
102-09h15;102;{'Ponta Delgada': '09h15', 'Moviarte': '09h21', 'Caldeirão': '09h31', 'Pico da Pedra': '09h37', 'Calhetas': '09h43', 'Rabo de Peixe': '09h48', 'Ribeira Grande': '10h00'};WEEKDAY;None
102-11h30;102;{'Ponta Delgada': '11h30', 'Moviarte': '11h36', 'Caldeirão': '11h46', 'Pico da Pedra': '11h52', 'Calhetas': '11h58', 'Rabo de Peixe': '12h03', 'Ribeira Grande': '12h20'};WEEKDAY;None
102-12h30;102;{'Ponta Delgada': '12h30', 'Moviarte': '12h36', 'Caldeirão': '12h46', 'Pico da Pedra': '12h52', 'Calhetas': '12h58', 'Rabo de Peixe': '13h03', 'Ribeira Grande': '13h15', 'Ribeirinha': '12h30'};WEEKDAY;None
102-13h30;102;{'Ponta Delgada': '13h30', 'Moviarte': '13h36', 'Caldeirão': '13h46', 'Pico da Pedra': '13h52', 'Calhetas': '13h58', 'Rabo de Peixe': '15h03', 'Ribeira Grande': '14h15'};WEEKDAY;None
102-14h30;102;{'Ponta Delgada': '14h30', 'Moviarte': '14h36', 'Caldeirão': '14h46', 'Pico da Pedra': '14h52', 'Calhetas': '14h58', 'Rabo de Peixe': '15h03', 'Ribeira Grande': '15h15'};WEEKDAY;None
102-15h30;102;{'Ponta Delgada': '15h30', 'Moviarte': '15h36', 'Caldeirão': '15h46', 'Pico da Pedra': '15h52', 'Calhetas': '15h58', 'Rabo de Peixe': '16h03', 'Ribeira Grande': '16h15'};WEEKDAY;None
102-16h30;102;{'Ponta Delgada': '16h30', 'Moviarte': '16h36', 'Caldeirão': '16h46', 'Pico da Pedra': '16h52', 'Calhetas': '16h58', 'Rabo de Peixe': '17h03', 'Ribeira Grande': '17h15'};WEEKDAY;None
102-17h30;102;{'Ponta Delgada': '17h30', 'Moviarte': '17h36', 'Caldeirão': '17h46', 'Pico da Pedra': '17h52', 'Calhetas': '17h58', 'Rabo de Peixe': '18h03', 'Ribeira Grande': '18h15'};WEEKDAY;None
102-18h40;102;{'Ponta Delgada': '18h40', 'Moviarte': '18h46', 'Caldeirão': '18h56', 'Pico da Pedra': '19h02', 'Calhetas': '19h08', 'Rabo de Peixe': '19h13', 'Ribeira Grande': '19h25'};WEEKDAY;None
102-19h15;102;{'Ponta Delgada': '19h15', 'Moviarte': '19h21', 'Caldeirão': '19h21', 'Pico da Pedra': '19h37', 'Calhetas': '19h43', 'Rabo de Peixe': '19h48', 'Ribeira Grande': '20h00', 'Ribeirinha': '20h10'};WEEKDAY;None
102-07h10;102;{'Rabo de Peixe': '07h10', 'Calhetas': '07h14', 'Pico da Pedra': '07h20', 'Caldeirão': '07h25', 'Moviarte': '07h33', 'Ponta Delgada': '07h45'};WEEKDAY;None
102-07h05;102;{'Maia - Escola': '07h05', 'São Brás': '07h10', 'Porto Formoso': '07h13', 'Ribeirinha': '07h27', 'Ribeira Seca': '07h34', 'Caldeirão': '07h49', 'Moviarte': '07h57', 'Ponta Delgada': '08h10'};WEEKDAY;None
102-07h45;102;{'Ribeira Grande': '07h45', 'Rabo de Peixe': '07h56', 'Calhetas': '08h00', 'Pico da Pedra': '08h05', 'Caldeirão': '08h10', 'Moviarte': '08h18', 'Ponta Delgada': '08h30'};WEEKDAY;None
102-09h00;102;{'Rabo de Peixe': '09h00', 'Calhetas': '09h04', 'Pico da Pedra': '09h10', 'Caldeirão': '09h15', 'Moviarte': '09h23', 'Ponta Delgada': '09h35'};WEEKDAY;None
102-10h00;102;{'Ribeira Grande': '10h00', 'Rabo de Peixe': '10h11', 'Calhetas': '10h15', 'Pico da Pedra': '10h20', 'Caldeirão': '10h25', 'Moviarte': '10h33', 'Ponta Delgada': '10h45'};WEEKDAY;None
102-11h15;102;{'Ribeira Grande': '11h15', 'Rabo de Peixe': '11h26', 'Calhetas': '11h30', 'Pico da Pedra': '11h35', 'Caldeirão': '11h40', 'Moviarte': '11h48', 'Ponta Delgada': '12h00'};WEEKDAY;None
102-12h30;102;{'Ribeirinha': '12h30', 'Ribeira Grande': '12h45', 'Rabo de Peixe': '12h56', 'Calhetas': '13h00', 'Pico da Pedra': '13h05', 'Caldeirão': '13h10', 'Moviarte': '13h18', 'Ponta Delgada': '13h30'};WEEKDAY;None
102-13h45;102;{'Ribeira Grande': '13h45', 'Rabo de Peixe': '13h56', 'Calhetas': '14h00', 'Pico da Pedra': '14h05', 'Caldeirão': '14h10', 'Moviarte': '14h18', 'Ponta Delgada': '14h30'};WEEKDAY;None
102-14h45;102;{'Ribeira Grande': '14h45', 'Rabo de Peixe': '14h56', 'Calhetas': '15h00', 'Pico da Pedra': '15h05', 'Caldeirão': '15h10', 'Moviarte': '15h18', 'Ponta Delgada': '15h30'};WEEKDAY;None
102-15h45;102;{'Ribeira Grande': '15h45', 'Rabo de Peixe': '15h56', 'Calhetas': '16h00', 'Pico da Pedra': '16h05', 'Caldeirão': '16h10', 'Moviarte': '16h18', 'Ponta Delgada': '16h30'};WEEKDAY;None
102-16h45;102;{'Ribeira Grande': '16h45', 'Rabo de Peixe': '16h56', 'Calhetas': '17h00', 'Pico da Pedra': '17h05', 'Caldeirão': '17h10', 'Moviarte': '17h18', 'Ponta Delgada': '17h30'};WEEKDAY;None
102-08h15;102;{'Ponta Delgada': '08h15', 'Moviarte': '08h21', 'Caldeirão': '08h31', 'Pico da Pedra': '08h37', 'Calhetas': '08h43', 'Rabo de Peixe': '08h48', 'Ribeira Seca': '08h58', 'Ribeira Grande': '09h00', 'Ribeirinha': '09h07', 'Porto Formoso': '09h15'};SATURDAY;None
102-10h00;102;{'Ponta Delgada': '10h00', 'Moviarte': '10h06', 'Caldeirão': '10h16', 'Pico da Pedra': '10h22', 'Calhetas': '10h28', 'Rabo de Peixe': '10h33', 'Ribeira Seca': '10h43', 'Ribeira Grande': '10h45', 'Ribeirinha': '10h52', 'Porto Formoso': '11h00'};SATURDAY;None
102-13h30;102;{'Ponta Delgada': '13h30', 'Moviarte': '13h36', 'Caldeirão': '13h46', 'Pico da Pedra': '13h52', 'Calhetas': '13h58', 'Rabo de Peixe': '14h03', 'Ribeira Seca': '14h13', 'Ribeira Grande': '14h15', 'Ribeirinha': '14h22', 'Porto Formoso': '14h30'};SATURDAY;None
102-15h30;102;{'Ponta Delgada': '15h30', 'Moviarte': '15h36', 'Caldeirão': '15h46', 'Pico da Pedra': '15h52', 'Calhetas': '15h58', 'Rabo de Peixe': '16h03', 'Ribeira Seca': '16h13', 'Ribeira Grande': '16h15', 'Ribeirinha': '16h22', 'Porto Formoso': '16h30'};SATURDAY;None
102-17h30;102;{'Ponta Delgada': '17h30', 'Moviarte': '17h36', 'Caldeirão': '17h46', 'Pico da Pedra': '17h52', 'Calhetas': '17h58', 'Rabo de Peixe': '18h03', 'Ribeira Seca': '18h13', 'Ribeira Grande': '18h15', 'Ribeirinha': '18h22', 'Porto Formoso': '18h30'};SATURDAY;None
102-19h00;102;{'Ponta Delgada': '19h00', 'Moviarte': '19h06', 'Caldeirão': '19h16', 'Pico da Pedra': '19h22', 'Calhetas': '19h28', 'Rabo de Peixe': '19h33', 'Ribeira Seca': '19h43', 'Ribeira Grande': '19h45', 'Ribeirinha': '19h52', 'Porto Formoso': '20h00'};SATURDAY;None
102-08h30;102;{'Ponta Delgada': '08h30', 'Moviarte': '08h36', 'Caldeirão': '08h46', 'Pico da Pedra': '08h52', 'Calhetas': '08h58', 'Rabo de Peixe': '09h03', 'Ribeira Seca': '09h13', 'Ribeira Grande': '09h15', 'Ribeirinha': '09h22', 'Porto Formoso': '09h30'};SUNDAY;None
102-10h00;102;{'Ponta Delgada': '10h00', 'Moviarte': '10h06', 'Caldeirão': '10h16', 'Pico da Pedra': '10h22', 'Calhetas': '10h28', 'Rabo de Peixe': '10h33', 'Ribeira Seca': '10h43', 'Ribeira Grande': '10h45', 'Ribeirinha': '10h52', 'Porto Formoso': '11h00'};SUNDAY;None
102-12h30;102;{'Ponta Delgada': '12h30', 'Moviarte': '12h36', 'Caldeirão': '12h46', 'Pico da Pedra': '12h52', 'Calhetas': '12h58', 'Rabo de Peixe': '13h03', 'Ribeira Seca': '13h13', 'Ribeira Grande': '13h15', 'Ribeirinha': '13h22', 'Porto Formoso': '13h30'};SUNDAY;None
102-14h30;102;{'Ponta Delgada': '14h30', 'Moviarte': '14h36', 'Caldeirão': '14h46', 'Pico da Pedra': '14h52', 'Calhetas': '14h58', 'Rabo de Peixe': '15h03', 'Ribeira Seca': '15h13', 'Ribeira Grande': '15h15', 'Ribeirinha': '15h22', 'Porto Formoso': '15h30'};SUNDAY;None
102-16h30;102;{'Ponta Delgada': '16h30', 'Moviarte': '16h36', 'Caldeirão': '16h46', 'Pico da Pedra': '16h52', 'Calhetas': '16h58', 'Rabo de Peixe': '17h03', 'Ribeira Seca': '17h13', 'Ribeira Grande': '17h15', 'Ribeirinha': '17h22', 'Porto Formoso': '17h30'};SUNDAY;None
102-18h30;102;{'Ponta Delgada': '18h30', 'Moviarte': '18h36', 'Caldeirão': '18h46', 'Pico da Pedra': '18h52', 'Calhetas': '18h58', 'Rabo de Peixe': '19h03', 'Ribeira Seca': '19h13', 'Ribeira Grande': '19h15', 'Ribeirinha': '19h22', 'Porto Formoso': '19h30'};SUNDAY;None
102-06h50;102;{'Gramas': '06h50', 'Ribeirinha': '06h58', 'Ribeira Grande': '07h05', 'Ribeira Seca': '07h07', 'Rabo de Peixe': '07h16', 'Calhetas': '07h20', 'Pico da Pedra': '07h25', 'Caldeirão': '07h30', 'Moviarte': '07h38', 'Ponta Delgada': '07h50'};SATURDAY;None
102-07h45;102;{'Ribeira Grande': '07h45', 'Ribeira Seca': '07h47', 'Rabo de Peixe': '07h56', 'Calhetas': '08h00', 'Pico da Pedra': '08h05', 'Caldeirão': '08h10', 'Moviarte': '08h18', 'Ponta Delgada': '08h30'};SATURDAY;None
102-12h15;102;{'Gramas': '12h15', 'Ribeirinha': '12h23', 'Ribeira Grande': '12h30', 'Ribeira Seca': '12h32', 'Rabo de Peixe': '12h41', 'Calhetas': '12h45', 'Pico da Pedra': '12h50', 'Caldeirão': '12h55', 'Moviarte': '13h03', 'Ponta Delgada': '13h15'};SATURDAY;None
102-15h15;102;{'Gramas': '15h15', 'Ribeirinha': '15h23', 'Ribeira Grande': '15h30', 'Ribeira Seca': '15h32', 'Rabo de Peixe': '15h41', 'Calhetas': '15h45', 'Pico da Pedra': '15h50', 'Caldeirão': '15h55', 'Moviarte': '16h03', 'Ponta Delgada': '16h15'};SATURDAY;None
102-17h15;102;{'Gramas': '17h15', 'Ribeirinha': '17h23', 'Ribeira Grande': '17h30', 'Ribeira Seca': '17h32', 'Rabo de Peixe': '17h41', 'Calhetas': '17h45', 'Pico da Pedra': '17h50', 'Caldeirão': '17h55', 'Moviarte': '18h03', 'Ponta Delgada': '18h15'};SATURDAY;None
102-06h50;102;{'Gramas': '06h50', 'Ribeirinha': '06h58', 'Ribeira Grande': '07h05', 'Ribeira Seca': '07h07', 'Rabo de Peixe': '07h16', 'Calhetas': '07h20', 'Pico da Pedra': '07h25', 'Caldeirão': '07h30', 'Moviarte': '07h38', 'Ponta Delgada': '07h50'};SUNDAY;None
102-12h15;102;{'Gramas': '12h15', 'Ribeirinha': '12h23', 'Ribeira Grande': '12h30', 'Ribeira Seca': '12h32', 'Rabo de Peixe': '12h41', 'Calhetas': '12h45', 'Pico da Pedra': '12h50', 'Caldeirão': '12h55', 'Moviarte': '13h03', 'Ponta Delgada': '13h15'};SUNDAY;None
102-14h30;102;{'Gramas': '14h30', 'Ribeirinha': '14h38', 'Ribeira Grande': '14h45', 'Ribeira Seca': '14h47', 'Rabo de Peixe': '14h56', 'Calhetas': '15h00', 'Pico da Pedra': '15h05', 'Caldeirão': '15h10', 'Moviarte': '15h18', 'Ponta Delgada': '15h30'};SUNDAY;None
102-16h30;102;{'Gramas': '16h30', 'Ribeirinha': '16h38', 'Ribeira Grande': '16h45', 'Ribeira Seca': '16h47', 'Rabo de Peixe': '16h56', 'Calhetas': '17h00', 'Pico da Pedra': '17h05', 'Caldeirão': '17h10', 'Moviarte': '17h18', 'Ponta Delgada': '17h30'};SUNDAY;None
102-21h15;102;{'Ponta Delgada': '21h15', 'Ponta Delgada - Hospital': '21h26', 'Caldeirão': '21h33', 'Pico da Pedra': '21h39', 'Calhetas': '21h45', 'Rabo de Peixe': '21h48', 'Ribeira Seca': '21h57', 'Ribeira Grande': '22h00'};WEEKDAY;None
102-23h15;102;{'Ponta Delgada': '23h15', 'Ponta Delgada - Hospital': '23h26', 'Caldeirão': '23h33', 'Pico da Pedra': '23h39', 'Calhetas': '23h45', 'Rabo de Peixe': '23h48', 'Ribeira Seca': '23h57', 'Ribeira Grande': '00h00'};WEEKDAY;None
102-21h15;102;{'Ponta Delgada': '21h15', 'Ponta Delgada - Hospital': '21h26', 'Caldeirão': '21h33', 'Pico da Pedra': '21h39', 'Calhetas': '21h45', 'Rabo de Peixe': '21h48', 'Ribeira Seca': '21h57', 'Ribeira Grande': '22h00'};SATURDAY;None
102-23h15;102;{'Ponta Delgada': '23h15', 'Ponta Delgada - Hospital': '23h26', 'Caldeirão': '23h33', 'Pico da Pedra': '23h39', 'Calhetas': '23h45', 'Rabo de Peixe': '23h48', 'Ribeira Seca': '23h57', 'Ribeira Grande': '00h00'};SATURDAY;None
102-21h15;102;{'Ponta Delgada': '21h15', 'Ponta Delgada - Hospital': '21h26', 'Caldeirão': '21h33', 'Pico da Pedra': '21h39', 'Calhetas': '21h45', 'Rabo de Peixe': '21h48', 'Ribeira Seca': '21h57', 'Ribeira Grande': '22h00'};SUNDAY;None
102-23h15;102;{'Ponta Delgada': '23h15', 'Ponta Delgada - Hospital': '23h26', 'Caldeirão': '23h33', 'Pico da Pedra': '23h39', 'Calhetas': '23h45', 'Rabo de Peixe': '23h48', 'Ribeira Seca': '23h57', 'Ribeira Grande': '00h00'};SUNDAY;None
102-22h00;102;{'Ribeira Grande': '22h00', 'Ribeira Seca': '22h02', 'Rabo de Peixe': '22h11', 'Calhetas': '22h15', 'Pico da Pedra': '22h21', 'Caldeirão': '22h26', 'Ponta Delgada': '22h45'};WEEKDAY;None
102-22h00;102;{'Ribeira Grande': '22h00', 'Ribeira Seca': '22h02', 'Rabo de Peixe': '22h11', 'Calhetas': '22h15', 'Pico da Pedra': '22h21', 'Caldeirão': '22h26', 'Ponta Delgada': '22h45'};SATURDAY;None
102-22h00;102;{'Ribeira Grande': '22h00', 'Ribeira Seca': '22h02', 'Rabo de Peixe': '22h11', 'Calhetas': '22h15', 'Pico da Pedra': '22h21', 'Caldeirão': '22h26', 'Ponta Delgada': '22h45'};SUNDAY;None
105-11h00;105;{'Vila do Nordeste': '11h00', 'Lomba da Pedreira': '11h15'};WEEKDAY;None
105-15h00;105;{'Vila do Nordeste': '15h00', 'Lomba da Pedreira': '15h15'};WEEKDAY;None
105-09h15;105;{'Lomba da Pedreira': '09h15', 'Vila do Nordeste': '09h30'};WEEKDAY;None
105-15h15;105;{'Lomba da Pedreira': '15h15', 'Vila do Nordeste': '15h30'};WEEKDAY;None
105-06h45;105;{'Ponta Delgada': '06h45', 'Moviarte': '06h52', 'Caldeirão': '07h00', 'Ribeira Seca': '07h16', 'Ribeira Grande': '07h20', 'Ribeirinha': '07h25', 'São Brás': '07h40', 'Maia - Largo S.António': '07h45', 'Lomba da Maia': '07h55', 'Fenais da Ajuda': '08h02', 'Lomba de S.Pedro': '08h07', 'Salga': '08h12', 'Lomba da Achadinha': '08h17', 'Achada': '08h26', 'Algarvia': '08h35', 'Santo António Nordestinho': '08h40', 'São Pedro Nordestinho': '08h45', 'Lomba da Fazenda': '08h50', 'Lomba da Cruz': '08h54', 'Vila do Nordeste': '09h00', 'Lomba da Pedreira': '09h15'};WEEKDAY;None
